计算机与智力心理学,作者:林崇德
经济学的形而上学,作者:陈世清 著
任何一种能够作为科学出现的未来形而上学导论,作者:康德 (著) 庞景仁(译)
逆转,作者:[加] 马尔科姆•格拉德威尔
投资经济学,作者:方芳，陈康幼　编著
3D打印3.0时代,作者:罗军
页岩革命,作者:【美】格雷戈里•祖克曼
投资经济学（第三版）（“十一五”国家级规划教材；经济管理类课程教材·投资系列）,作者:任淮秀　主
形而上学,作者:[古希腊] 亚里士多德 (著) 吴寿彭(译)
战略逆转,作者:王真
管理就是决策:第一次就把决策做对,作者:王力
魔鬼经济学,作者:腾讯财经
像TED一样演讲,作者:[美]卡迈恩·加洛（Carmine Gallo）
凯恩斯、拉斯基、哈耶克：改变世界的三个经济学家,作者:【美】肯尼斯 R. 胡佛
并购之王,作者:丹尼斯 J.罗伯茨
真希望我20几岁就知道的人情世故,作者:赵一　著
真希望我20几岁就知道的事,作者:（日）崎本宝珠 著，未予 译
真希望我20几岁就做对的事,作者:福勒　著，马春媛　译
真希望我20几岁就知道的人性诡计,作者:廖春红　著
我是說謊者 : 費裡尼的筆記,作者:費裡尼
一本书读懂情商,作者:梁革兵
真希望我20几岁就知道的人脉掌控术,作者:李娜 著
费里尼画传,作者:卡拉·米勒
费德里柯·费里尼,作者:（法）梅让 著，周皓 译
一本书读懂大宋史,作者:黎重
一本书读懂大明史,作者:黎重
费里尼,作者:阿里斯塔尔科
一本書讀懂民國,作者:宋亞文
制度才是真正的老板,作者:狄振鹏
管理就是走流程:没有规范流程,管理一切为零,作者:石真语
一本书读懂人生,作者:商智编著
史玉柱自述,作者:优米网
一本书读懂春秋战国,作者:李靖莉等
中国赌金者,作者:陆一
读懂中国改革3,作者:厉以宁
看懂世界格局的第一本书,作者:王伟
企业墙标语:一流的执行必有一流的文化(附墙标语喷绘模板50套),作者:世纪传播
盘活：中国民间金融百年风云,作者:王千马
星巴克，不只是咖啡,作者:[美] 约瑟夫·米歇利
基金投资入门与实战技巧,作者:罗斌
在绝望中寻找希望,作者:俞敏洪
互联网时代（精装版）,作者:中央电视台大型纪录片互联网时代主创团队
读懂中国改革2:寻找改革突破口,作者:Array
李光耀论中国与世界,作者:李光耀
联想涅槃,作者:李鸿谷
工业互联网:互联网+时代的产业转型,作者:许正
企业是孩子，看你怎么带,作者:孙子策
助推,作者:卡斯·桑斯坦
逆转死局,作者:(美)约翰·狄克森·卡尔等
股市晴雨表,作者:[美]威廉·彼得·汉密尔顿
营销内参——专属老板的营销决策书,作者:毛鹏
罪案逆转,作者:张建东　著
基础看盘(实盘精解版),作者:范江京
一个人的朝圣,作者:蕾秋·乔伊斯
大逆转,作者:刘登义，张枫　著
逆转力,作者:（美）查兰 著，何正云，张琛 译
逆转死局,作者:（美）卡尔　著，郭乃嘉　译
大逆转1919,作者:（德）拉尔夫 乔治 劳艾特
逆转课堂,作者:
物演通论,作者:子非鱼
实战看盘(高手提升版),作者:范江京
形而上學,作者:布魯斯．昂
形而上學,作者:柏格裡奧羅
形而上学,作者:（古希腊）亚里士多德 著，苗力 译
大逆转,作者:[美]鲍勃•塞勒斯
非零年代︰人類命運的邏輯,作者:萊特Wright, Christopher J. H.
物演通论,作者:子非鱼 著
怪诞行为学2：非理性的积极力量,作者:（美）艾瑞里　著，赵德亮　译
财富是怎样产生的,作者:陈志武
为什么中国人勤劳而不富有,作者:陈志武　著
以自由看待發展,作者:阿馬蒂亞‧森
嫉妒心理学,作者:寒心
风险投资学,作者:刘曼红，（美）林博 著
爱情心理学,作者:烨子
逆境心理学,作者:孤草
博弈论的诡计,作者:王春永 编著
应酬心理学,作者:余德琛
形而上学及其任务,作者:(美)格拉切
形而上學 (第2版)Metaphysics (2 Ed.),作者:宮睿
道德形而上学原理,作者:伊曼努尔·康德
形而上学的历史演变,作者:张志伟主编
崇拜心理学,作者:祥贵
道德形而上学的奠基,作者:康德
语言批判与形而上学,作者:李国山
康德的经验形而上学,作者:[英] H·J·裴顿 (著) 韦卓民(译)
形而上学的逻辑基础,作者:[英] 迈克尔·达米特（Michael Dummett）
当代形而上学导论,作者:（美）麦克尔·路克斯　著，朱新民　译
从审美形而上学到美学谱系学,作者:冯学勤
亚里士多德的《形而上学》,作者:[法] 安若澜（Annick Jaulin）
怪诞行为学,作者:（美）艾瑞里 著，赵德亮，夏蓓洁 译
逻辑学、形而上学和人类的社会本性,作者:（英）哈奇森　著，强以华　译
后形而上学希望（罗蒂自选集）,作者:（美）罗蒂（rorty，r）　著；张国清　译
理科生的人生设计指南,作者:（日） 坪田一男
任何一种能够作为科学出现的未来形而上学-导论,作者:康德 (著) 庞景仁(译)
天人之境：斯宾诺莎道德形而上学研究,作者:韩东晕　著
真希望我20几岁就懂得的事大全集,作者:邱霜
人生设计线路图,作者:[美]高燕定
人生设计线路图：美国升学与前途,作者:（美）高燕定
人生设计在童年,作者:高燕定
真希望在结婚前就明白的事,作者:沈嘉柯
真希望我20几岁就知道的人生经验,作者:胡善林　编著
站在巨人肩上:写给孩子的人生设计启蒙书(体育、娱乐明星卷),作者:刘东伟　编著
真希望我20几岁就知道的公关策略术,作者:蔡亚兰　著
站在巨人肩上:写给孩子的人生设计启蒙书 文学家、艺术家、科学家、其他卷,作者:刘东伟　编著
道德形而上学,作者:陶悦
真希望二十几岁就明白的事,作者:吴学刚　编著
神学与形而上学,作者:（英）利奇蒙德 著，朱代强，孙善玲 译
形而上学与境界,作者:陆杰荣　著
真希望我20几岁就知道的事,作者:[美] 蒂娜•齐莉格（Tina Seelig）
形而上学读本,作者:张志伟 主编
逻辑与形而上学,作者:郝兆宽　主编
尼采与形而上学,作者:周国平 著
尼采与形而上学,作者:周国平
形而上学是什么,作者:(美)昂
意义的形而上学,作者:（美）卡茨 著，苏德超，张离海 译
道德形而上学,作者:康德
计算机与机器视觉,作者:（英）E. R. Davies
形而上学的国家论,作者:L. T. 霍布豪斯
计算机与计算思维导论,作者:Array,Array
真希望我20几岁就知道的事大全集,作者:雅瑟，宇琦　编著
概念图式与形而上学,作者:应奇
信任论,作者:郑也夫
代价论,作者:郑也夫
文明是副产品,作者:郑也夫
中国最美的情诗,作者:牧原著
舍得，舍不得,作者:蒋勋
信任论,作者:郑也夫
中国最美的语文,作者:夏昆
形而上学的迷雾,作者:刘晓波
中国最美的老街,作者:黄滢 马勇
后形而上学思想,作者:[德国]哈贝马斯
中国最美的100风情小镇,作者:《国家地理系列》编委会 编
中国最美的100传世书法,作者:《图说天下·国学书院系列》编委会　编
调情的艺术,作者:[德] 布里吉特·布森克普夫
中国最美的书,作者:中国最美的书评审委员会
中国最美的100传世诗词,作者:《图说天下·国学书院系列》编委会
天才在左 疯子在右,作者:高铭　著
社会性动物,作者:（美）阿伦森　著，邢占军　译
盲目心理学,作者:玛格丽特·赫夫曼
期货与期权,作者:罗孝玲
向格雷厄姆学思考向巴菲特学投资,作者:劳伦斯 .A克尼厄姆 (著) 王庆(译)
期货与期权,作者:谢剑平 著
期货与期权,作者:罗孝玲　编著
金融期货与期权,作者:施兵超 著
向格雷厄姆学思考向巴菲特学投资,作者:（美）坎宁安　著，闾佳，侯君　译
精子战争,作者:(美) 罗宾·贝克 著
改变心理学的40项研究,作者:[美]哈克 著，白学军等 译
公司绝不会告诉你的50大秘密,作者:（美）夏皮罗　著，千太阳　译
启动大脑,作者:（英）博赞　著，丁叶然　译
史蒂夫·乔布斯传,作者:[美] 沃尔特·艾萨克森
變態心理揭秘,作者:王溢嘉
常识,作者:[美国] 托马斯·潘恩
童年的消逝,作者:[美] 尼尔・波兹曼
期货与期权市场导论,作者:（加）赫尔 著，周春生 等译
拯救头发,作者:华阳文化 主编
维基经济学,作者:（加）泰普斯科特，（英）威廉姆斯　著，何帆，林季红　译
什么改变中国,作者:张维迎
思维导图系列:快速阅读,作者:（英）东尼·博赞　著；丁叶然　译
世界是部金融史,作者:陈雨露，杨栋
政治经济学：对经济政策的解释（当代世界学术名著）,作者:佩尔森（persson　t.），塔贝里尼（tabellini g.） 著，方敏　译
产业组织经济学,作者:威谦.G.谢泼德 乔安娜 M 谢泼德 (著) 陈叶盛(译)
超级记忆,作者:（英）博赞　著，叶刚　译
稅收經濟學,作者:伯納德‧薩拉尼
經濟學與消費者行為,作者:安格斯‧迪頓 / 約翰‧米爾鮑爾
新企业的起源与演进,作者:（美）毕海德 著
美国的知识生产与分配,作者:[美]弗里茨·马克卢普 (著) 孙耀君(译)
世界貿易體系經濟學,作者:科依勒‧貝格威爾 / 羅伯特‧W‧思泰格爾
美國產業結構（第10版）,作者:瓦爾特‧亞當斯詹姆士‧W‧布洛克
制度与行为经济学,作者:阿兰·斯密德 刘璨 (著) 吴水荣(译)
雙贏之道,作者:王雪佳
利益集團與貿易政策,作者:格羅斯曼
影响力2,作者:（美）帕特森　等著，彭静　译
时间陷阱,作者:（美）邓肯　著，鲁刚伟，何伟　译
影响力,作者:[美] 罗伯特•西奥迪尼
从来就没有救世主,作者:许小年 著
博弈學習理論,作者:朱‧弗登伯格
女人的起源The Descent of Woman,作者:劉筠
进化心理学,作者:（美）巴斯　　著，熊哲宏　译
遇见未知的自己,作者:张德芬
拖延心理学,作者:[美] 莱诺拉·袁(Lenora M. Yuen)
乌合之众——大众心理研究,作者:（法）古斯塔夫.勒庞
追寻记忆的痕迹,作者:[美] 埃里克·坎德尔 (著) 罗跃嘉(译)
行為博弈,作者:科林．凱莫勒
重新定位,作者:（美）杰克·特劳特（Jack Trout）史蒂夫·里夫金（Steve Rivkin）
重口味心理学,作者:姚尧
你的剧本逊毙了,作者:埃克斯
什么是数学,作者:H.罗宾
心理学与生活,作者:[美]格里格，津巴多 著，王垒，王甦等 译
定位,作者:杰克·特劳特
爸爸要和儿子一起做的50件事,作者:杨秉慧
反常识经济学,作者:（美）贝克尔，（美）波斯纳　著，李凤　译
番茄工作法图解,作者:(瑞典) 诺特伯格 (noteberg，s.) 著，姜丁坤译
少有人走的路：心智成熟的旅程(最新版),作者:（美）派克　著，于海生　译
31岁小美女的养颜经,作者:一猫一菩提
博赞学习技巧,作者:（英）博赞　著；丁大刚，张相芬　译
过犹不及-如何建立你的心理界线,作者:（美）亨利·克劳德，（美）约翰·汤森德　著，蔡岱安　译
发现利润区,作者:[美]斯莱沃斯等 著；凌晓东等 译
超级记忆力训练:100%开发你的记忆潜能,作者:（美）乔伊斯 著，王笑东 译
金融的逻辑,作者:陈志武
风险投资学,作者:胡海峰，胡松明　主编
思维导图,作者:（英）博赞　著，叶刚　译
争吵艺术——为夫妻之道,作者:
资本论,作者:（德）马克思
别做正常的傻瓜,作者:奚恺元
爱上统计学,作者:（美）萨尔金德（salkind，n.j.）　著，史玲玲　译
活法,作者:[日] 稻盛和夫
做最成功的父母——赏识孩子的55个细节,作者:崔华芳 编著
干法,作者:【日】稻盛和夫　著，曹岫云　译
全球性金融机构求职指南,作者:（新加坡）张情昌，余晋历 著
现代竞争分析,作者:（美）奥斯特 著，张志奇 等译
创新者的窘境,作者:[美] 克雷顿·克里斯滕森 (著) 吴潜龙(译)
博士、硕士研究生毕业论文研究与写作,作者:（英）费希尔 等著，徐海乐，钱萌 译
经济学是如何忘记历史的,作者:杰弗里·M·霍奇逊
《好战略，坏战略》,作者:理查德·鲁梅尔特
被谷歌,作者:（美）奥菜塔　著，薛红卫，谭晓晖　译
长尾理论2.0,作者:（美）安德森 编，乔江涛，石晓燕 译
一次读完100本商业经典,作者:（美）科弗特，（美）赛特斯登 著，王华 译
中国人为什么看不起中国人,作者:张鸣
中国人的焦虑从哪里来,作者:茅于轼
管理者的误区,作者:(美)杰费里·菲佛 罗伯特·萨顿 著 尤咏 译 (著) 尤咏(译)
華盛頓的全球賭博,作者:彼得‧高恩
潜规则 中国历史中的真实游戏,作者:吴思 著
生活中的經濟學 (第3版),作者:茅於軾
互联网：从神话到现实,作者:(英)约翰·诺顿著.朱萍.茅庆征.张雅珍译
质疑自由市场经济,作者:理查德・布隆克 (著) 林季红(译)
信息時代的經濟學NEW ECONOMICS OF THE INFORMATION AGE,作者:KERMALLY, SULLTAN
五十位經濟學家FIFTY MAJOR ECONOMISTS,作者:PRESSMAN, STEVEN
非摩擦经济,作者:（美） 勒维斯 著 卞正东 等译
市場經濟讀本MARKET ECONOMY,作者:
資本的秘密MYSTERY OF CAPITAL,作者:SOTO, HERNANDO DE
經濟增長的秘密The Mystery of Economic Growth,作者:王世華/ 吳筱
经济增长的道德意义,作者:弗里德曼　著，李天有　译
百辩经济学,作者:（美）布拉克 著，佘引 译
中国是部金融史,作者:
理性與自由Rationality and Freedom,作者:李風華
沈醉回忆录：我这三十年,作者:沈醉　口述，沈美娟　整理
微观动机与宏观行为,作者:湯瑪斯‧C‧謝林
组织学习,作者:克里斯·阿吉里斯 (著) 李萍(译)
生产力,作者:（美）诺布尔 著，李风华 译
小就是大,作者:（美）高汀　著，刘祥亚　译
效率与生产率分析引论,作者:科埃利 等著，王忠玉 译
管理思想史,作者:雷恩　著；孙健敏，黄小勇，李原　译
組織學習、績效與變革,作者:傑裏‧W‧吉雷 / 安‧梅楚尼奇
组织文化诊断与变革,作者:卡梅隆，硅因　著；谢晓龙　译
系統思考,作者:邁克爾‧C‧傑克遜
Facebook,作者:（美）麦兹里奇 著，马小艳 译
大败局1、2,作者:吴晓波 著
社会网络与组织,作者:马汀·奇达夫等
斑马为什么不得胃溃疡,作者:萨波斯 著
在金融业的现场,作者:巴曙松 著
30种大脑训练方法提高你的注意力,作者:（日）筱原菊纪　著，江霆　译
機會的概率有多大,作者:霍蘭
女性身心史话,作者:(加)爱德华·肖特(Edward Shorter)等
管理學 (第11版)Management: Skills and Application,作者:萊斯利．W．魯/ 勞埃德．L．拜厄斯Rue, Leslie W./ Byars, Lloyd L.
妻子是什么,作者:（美）金斯顿 著，吴宏凯 译
美国性史,作者:伊莉莎白‧賴斯編
企业文化与经营业绩,作者:约翰·P·科特 詹姆斯·L·赫斯克特 (著) 李晓涛(译)
图解波特竞争战略,作者:（日）中野明　著，李毓昭　译
在傻子和英雄之间,作者:徐贲
论创造力 (平装),作者:玻姆 (著) 洪定国(译)
操纵世界的黑手,作者:（美）杰弗斯　著，刘宁　译
美貌的诱惑,作者:[美]弗莱迪 著，杨宁宁 译
谁在真正统治世界,作者:伯内特，盖姆斯　著，曾贤明　译
粘住,作者:（美）希思　等著，雷静　译
变革中国,作者:科斯/王宁
经济黑帮,作者:（美）菲斯曼，（美）米格尔　著，冯斌　译
大变局,作者:汪在满　著
对冲基金风云录,作者:（美）巴顿•比格斯　著，张桦，王小青 译
对冲基金风云录2,作者:巴顿·比格斯
中国重组,作者:王世渝
骷髅会的秘密,作者:（美）罗宾斯　著，祁冰　译
經濟學中的經驗建模：設定與評價,作者:格蘭傑
对冲基金风云录,作者:（美）比格斯 著，张桦 等译
通貨膨脹、失業與貨幣政策,作者:索洛
对冲基金到底是什么？,作者:黄徽
贏者的詛咒: 經濟生活中的悖論與反常現象The Winner's Curse: Paradoxes and Anomalies of Economic Life,作者:陳宇峰
拍賣,作者:柯倫柏
全球經濟中的創新與增長,作者:格羅斯曼
理解经济变迁过程,作者:诺思　著，钟正生　等译
经济学中的实验室实验,作者:罗斯　编，聂庆　译
创新及其不满,作者:勒纳　等著，罗建平　等译
经济思想史,作者:罗宾斯　著；杨玉生　译
法律缺失與經濟學: 可供選擇的經濟治理方式Lawlessness and Economics: Alternative Modes of Governance,作者:鄭江淮/ 李艷東/ 張杭輝/ 江靜
策略思维,作者:阿维纳什·k·迪克西特
经济政策的制定,作者:迪克西特（dixit a.k.） 著；刘元春 译
柔道战略,作者: (著) 大卫B.尤费(译)
博弈論經典,作者:哈樂德‧W‧庫恩編著
众包,作者:杰夫·豪
免费,作者:[美] 克里斯·安德森
实验经济学,作者:米勒Miller, Peter
自由在高处,作者:熊培云　著
未来是湿的,作者:（美）舍基　著；胡泳，沈满琳　译
异类,作者:（美）格拉德威尔　著，季丽娜　译
郎咸平说我们的生活为什么这么无奈,作者:郎咸平
我们的国家：疆域与人口,作者:葛剑雄 著
无所畏与无所谓,作者:张鸣 著
论经济学和经济学家,作者:（美）科斯　著，罗君丽，茹玉骢　译
大败局（ii）,作者:吴晓波 著
生猛的进化心理学,作者:[美] 艾伦•米勒，金泽哲　著，吴婷婷　译
创新者的解答,作者:（美）克里斯坦森，（加）雷纳　著，李瑜偲，林伟，郑欢　译
股票作手回忆录,作者:杰西·利弗莫尔
凯恩斯传,作者:R.F.哈罗德
疯狂的信用,作者:予龙著
随机致富的傻瓜,作者:（美）塔勒布　著，盛逢时　译
中国文化的深层结构,作者:（美）孙隆基 著
创业金融,作者:高建
创业者圣经,作者:赛斯•高汀 (著) 徐屹然(译)
引爆点,作者:（美）格拉德威尔 著，钱清，覃爱冬 译
公正,作者:（美）桑德尔　著，朱慧玲　译
娱乐至死 童年的消逝,作者:（美）波兹曼（postman，n.） 著，章艳，吴燕莛 译
白鹿原,作者:陈忠实
白鹿原,作者:陈忠实
娱乐至死,作者:（美）波兹曼 著，章艳 译
性心理学,作者:（英）埃利斯 著，陈维政 等译
乌合之众,作者:[法] 古斯塔夫·勒庞 (著) 冯克利(译)
百年孤独,作者:[哥伦比亚] 加夫列尔·加西亚·马尔克斯 (著) 吴健恒(译)
性心理学,作者:（英）霭理士 著，潘光旦 译注
大历史不会萎缩,作者:（美）黄仁宇 著
狂热分子,作者:[美] 埃里克·霍弗  Eric Hoffer
成为百万美元咨询师,作者:(美)艾伦·韦斯著
创业者圣经:有创意、无资金如何起家,作者:塞思·戈丁 (著) 赵孝盛(译)
成为百万美元演讲师,作者:(美)艾伦·韦斯(Weiss,A.)著
万历十五年,作者:黄仁宇 著
简化你的时间,作者:洛塔尔·赛韦特 (著) 孙荷芊(译)
拖延心理学. 2,作者:【加】皮尔斯·斯蒂尔
华为时间管理法,作者:杨玉柱
创新者的基因,作者:克莱顿·克里斯坦森
白鹿原,作者:陈忠实
管理的未来,作者:
乐观的偏见,作者:【英】塔莉• 沙罗特（Tali Sharot）
资本主义十讲,作者:[法]米歇尔•于松（Michel Husson）
超越金融,作者:（美）乔治·索罗斯　著，宋嘉　译
怪诞心理学2,作者:[英] 理查德·怀斯曼
贫穷的本质,作者:
从资产到利润,作者:高建
创业资本与创新金融,作者:
创业者的经营与金融战略,作者:
中国当代社会阶层分析,作者:杨继绳
微信，这么玩才赚钱,作者:曹雪怡（笔名：蓝尧）
企业上市解决之道,作者:投行小兵　编著
创业36条军规,作者:孙陶然
一个对冲基金经理的日记,作者:[美]里奇•布莱克（Rich Blake）
微信营销完全攻略,作者:王金泽
企业为什么会陷入财务危机?,作者:李秉成
一看就懂的博弈学全图解,作者:石磊编著
坏人到底在想什么,作者:（法）费兹 著，黄馨慧 译
石头,剪子,布,作者:（英）费雪（fisher，l）　著；顾洁　译；王茁　审
梦的解析,作者:[奥地利] 弗洛伊德
梦的解析（彩色图解版）,作者:（奥）弗洛伊德　著；陈焕文，翟飚　编译
能源金融,作者:林伯强 黄光晓
梦的解析,作者:（奥地利）弗洛伊德　著，青闰　译
信用风险模型,作者:(美)冈特·勒夫勒(Gunter Loffler)等
中国社会信用体系中信用结构和信用链研究,作者:毛道维
成为百万美元培训师,作者:(美)艾伦·韦斯著
能源金融理论与实践,作者:刘贵生　主编
信用风险度量,作者:(美) 安东尼·桑德斯著;刘宇飞译 (著) 刘宇飞(译)
新手理财系列．轻松玩转信用卡,作者:余俊杰编著
管理的未来,作者:
活着,作者:余华 著
牧羊少年奇幻之旅,作者:[巴西] 保罗·科埃略 (著) 孙成敖(译)
苏菲的世界,作者:（挪威）乔斯坦·贾德 (著) 萧宝森(译)
顾准文集（增订珍藏版）,作者:顾准　著，陈敏之，罗银胜　编
小毛驴与我,作者:[西]希梅内斯 著；林为正 译
世界上最伟大的推销员,作者:奥格・曼狄诺
奇特的一生,作者:(苏)格拉宁 (著) 唐其慈(译)
24堂财富课,作者:陈志武　著
非理性亢奋,作者:陈志武　著
浪潮之巅,作者:吴军
无价,作者:（美）威廉•庞德斯通 著，闾佳　译
顾准日记,作者:顾准
第五项修炼,作者:[美] 彼得·圣吉
沉思录,作者:[古罗马] 马可·奥勒留·安东尼
野蠻生長: 一部民營企業的心靈史 一位商界哲人的人生感悟,作者:馮侖
微信营销解密,作者:李国建
精益创业,作者:[美] 埃里克·莱斯
创客,作者:克里斯·安德森
SEARCHING FOR MEMORY,作者:SCHACTER, DANIEL L.
HOW WE KNOW WHAT ISN'T SO,作者:GILOVICH, THOMAS
经济增长的代价,作者:（英）E.J.米香（E.J.Mishan） (著) 任保平、梁炜等(译)
全球化及其不满,作者:约瑟夫 E.斯蒂格利茨 (著) 章添香(译)
