金阁寺,作者:(日)三岛由纪夫
汉英赠言精华,作者:辛星 (著) 张克勤(译)
童年,作者:高尔基
庄子今注今译 (3册）,作者:陈鼓应
第十三个故事,作者:[英] 戴安娜·赛特菲尔德
灿烂千阳,作者:（美）胡赛尼 著，李继宏 译
聊斋志异,作者:蒲松龄
查拉图斯特拉如是说,作者:钱春崎
穿条纹衣服的男孩,作者:（爱尔兰）伯恩　著，龙婧　译
拍案驚奇,作者:陳邇冬/ 郭雋杰
约翰·克利斯朵夫,作者:罗曼·罗兰
从一到无穷大,作者:（美）g.伽莫夫　著，暴永宁　译
国史大纲（2册合售）,作者:钱穆 著
醒世恆言 上下 (2冊合售),作者:顧學頡
千秋一寸心,作者:周汝昌
新編諸子集成: 老子道德經注校釋,作者:(魏) 王弼/ 注; 樓宇烈/ 校釋
周书 (3冊合售),作者:令孤德棻
中華經典普及文庫: 夜航船,作者:(明) 張岱; 李小龍/ 整理
红字,作者:纳撒尼尔.霍桑
喻世明言,作者:許政揚
小男人,作者:路易莎・梅・奥尔科特 (著) 陈玉立(译)
呼啸山庄,作者:（英）艾米莉・勃朗特
驴皮记,作者:巴尔扎克 (著) 郑永慧(译)
悲惨世界（上下）,作者:[法] 雨果 (著) 潘丽珍(译)
邦斯舅舅,作者:巴尔扎克 (著) 许钧(译)
蝴蝶梦,作者:（英）达夫妮·杜穆里埃
小妇人,作者:（美）路易莎・梅・奥尔科特刘春英 陈玉立
不存在的骑士,作者:[意] 伊塔洛·卡尔维诺
如果在冬夜，一个旅人,作者:[意大利] 伊塔洛•卡尔维诺
物理世界奇遇记,作者:（美）伽莫夫，（英）斯坦纳德 著，吴伯泽 译
楚辭譯注 (圖文本),作者:董楚平
浮生六记,作者:（清）沈复 著，唐昱 编注
分成两半的子爵,作者:[意大利] 伊塔洛•卡尔维诺
谁动了我的奶酪？,作者:[美] 斯宾塞·约翰逊
树上的男爵,作者:(意)卡尔维诺
假面自白,作者:[日]三岛由纪夫
论语译注,作者:杨伯峻
四書章句集注,作者:朱熹
文心雕龙注(上下),作者:范文澜  注
儒林外史,作者:吴敬梓
战国策,作者:刘向 编
中國文學研究典籍叢刊: 詩品譯注,作者:鍾嶸; 周振甫/ 譯注
西游记,作者:吴承恩
红楼梦,作者:高 鹗
三国演义,作者:罗贯中
我的大学,作者:高尔基
简·爱,作者:[英] 夏洛蒂·勃朗特
格列佛游记,作者:[英] 乔纳森·斯威夫特
东周列国志,作者:冯梦龙
魯濱孫飄流記,作者:丹尼爾．笛福Daniel Defoe
好笑的爱,作者:米兰.昆德拉
百年孤独,作者:（哥伦）马尔克斯　著，范晔 译
海上劳工,作者:雨果
小東西,作者:阿爾豐斯．都德
寻找时间的人,作者:（爱尔兰）凯特·汤普森　著，孙张静　译
岁月留香(散文诗歌卷),作者:徐德霞 主编
围城,作者:钱锺书
追风筝的人,作者:[美] 卡勒德·胡赛尼 (著) 李继宏(译)
达·芬奇密码,作者:丹•布朗 (Dan Brown)
窗边的小豆豆——新经典文库,作者:[日]黑柳彻子 著
偷书贼,作者:（澳）马克斯·苏萨克　著，孙张静　译
杭州的山,作者:马时雍编
唐诗三百首,作者:（清）蘅塘退士（编）陈婉俊（补注）
时间的针脚,作者:[西]玛丽亚·杜埃尼亚斯
英语泛读教材:世界著名科学家小传,作者:陈蔚，刘征，陈雄  注释
芒果街上的小屋,作者:桑德拉．希斯內羅絲
菜根谭全编,作者:李伟 编注
国学概论,作者:章大炎　讲演；曹聚仁整理；汤志钧　导读
诗经译注,作者:程俊英 撰
梦溪笔谈,作者:侯真平校点
篆刻入门,作者:孔云白
闲情偶寄,作者:（清）李渔　著，江巨荣，卢寿荣　校注
古本竹书纪年辑校订补,作者:范祥雍 编
蘇軾詞編年校注 (全3冊合售),作者:王宗堂
东京梦华录注,作者:【宋】孟元老 著；邓之诚 注
人間詞話手稿本全编,作者:王國維
加菲猫(GARFIELD) 中英文对照(上下珍藏版),作者:(美)吉姆·戴维斯 (著) 牛宏宝(译)
封神演义/十大古典白话长篇小说丛书,作者:许仲琳
实用英语语法练习与答案,作者:张道真
古典音乐,作者:菲利普·塞尔顿
告白,作者:湊かなえ
老残游记,作者:[清] 刘鹗
实用英语语法,作者:张道真（编著）
万物简史,作者:比爾．布萊森Bryson, Bill
隐之书,作者:（英）拜雅特 著，于冬梅，宋瑛堂 译
国际玩笑,作者:午马
木偶的秘密,作者:（加）布拉德利 著，蔡中恒 译
紫阳花日记,作者:[日]渡边淳一 著，王智新 译
孽海花,作者:曾朴
三杯茶,作者:（美）摩顿森，（美）瑞林 著，黄玉华 译，严冬冬 校译
万历十五年,作者:（美）黄仁宇 著
寂寞烟花梦一朵,作者:陆小曼 著
中國古典文學基本叢書: 世說新語校箋 上下 (2冊合售),作者:徐震堮/ 劉義慶
沉思录,作者:马可·奥勒留 著，何怀宏 译
活着,作者:余华
黄金时代,作者:王小波
血色童话,作者:（瑞典）伦德维斯特　著，孙如轶　译
人间失格,作者:[日]太宰治
白银时代,作者:王小波
青铜时代,作者:王小波
双城记,作者:狄更斯
二刻拍案驚奇,作者:陳邇冬/ 郭雋杰
哈扎尔辞典（阳本）,作者:(塞尔维亚)米洛拉德·帕维奇
漂亮朋友,作者:莫泊桑
警世通言,作者:嚴敦易
雾都孤儿,作者:狄更斯
赫克尔贝里·芬历险记,作者:马克.吐温 (著) 许汝祉(译)
复活,作者:列夫﹒托尔斯泰
你是那人间的四月天,作者:林徽因 著
三剑客,作者:大仲马
劝导,作者:[英国] 简·奥斯丁
九三年,作者:[法]雨果
巴黎圣母院,作者:雨果
在人间,作者:高尔基
银河系搭车客指南,作者:[英] 道格拉斯·亚当斯
生命，宇宙以及一切,作者:(英)道格拉斯·亚当斯
钢铁是怎样炼成的,作者:尼・奥斯特洛夫斯基
麦田里的守望者,作者:[美国] J. D. 塞林格
好兵帅克,作者:（捷克）雅﹒哈谢克
基本无害,作者:(英)道格拉斯·亚当斯
宇宙尽头的餐馆,作者:[英] 道格拉斯·亚当斯
了不起的盖茨比,作者:[美]菲茨杰拉德
蔡志忠古典幽默漫画-西游记-西天取经,作者:蔡志忠
再会，谢谢所有的鱼,作者:(英)道格拉斯·亚当斯
六祖坛经,作者:蔡志忠
庄子说,作者:蔡志忠
封神榜,作者:蔡志忠
禅说,作者:蔡志忠
大象的眼泪,作者:[美] 莎拉·格鲁恩 (著) 谢佳真(译)
飘（英文版上下册）,作者:玛格丽特·米切尔
The Washington Manual of Medical Therapeutics,作者:Godara, Hemant
唐太宗屏风帖,作者:刘小晴 编
唐诗说Ⅱ,作者:蔡志忠
散氏盘,作者:上海书画出版社 编
白夜行,作者:[日] 东野圭吾 译者: 刘姿君
毛公鼎,作者:上海书画出版社 编
礼器碑,作者:本社 编
Beloved (Plume Contemporary Fiction),作者:Toni Morrison
The Shack小屋,作者:Young, William P.威廉．保羅．楊
芥子园画传,作者:巢勋
王羲之王献之选集(历代法帖选),作者:王献之 陈大中 王羲之
魔戒. 第三部, 王者无敌,作者:（英）托尔金 著，汤定九 译
史记（全10册）,作者:司马迁 著
三国志（全5册）,作者:陈寿 著
智永真草千字文墨迹,作者:
苏轼选集,作者:苏轼
怀素草书集,作者:陈大中
黄山谷选集,作者:曾精雄 陈大中
张瑞图选集,作者:汤耀翔 陈一平 周梅 李迪 王犁 陈大中
历代法帖选．书谱,作者:(唐)孙过庭书
石鼓文,作者:方传鑫
历代法帖选 宋 米芾选集,作者:张建春
陆柬之文赋,作者:刘小晴 庄新兴
张猛龙碑,作者:方传鑫
张黑女墓志,作者:
龙藏寺碑,作者:
敬史君碑,作者:方传鑫
天发神谶碑,作者:本社  编
高贞碑,作者:上海书画出版社 方传鑫 编
司马氏墓志四种,作者:方传鑫
唐太宗温泉铭,作者:方传鑫 编
集王羲之圣教序,作者:本社 编
